Country,Region,Population,Area_sq_mi,Pop_Density_sq_mi,Coastline,Net_migration,Infant_mortality_per1000births,GDP,Literacy,Phones_1000),Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Nicaragua ,LATIN AMER. & CARIB    ,5570129,129494,43.0,70,-122,2.911,2300,67.5,39.7,1.594,194,8.212,2,2.451,445,165,275,56
Niger ,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.9,0,-67,12.169,800,17.6,1.9,354,1,9.645,1,5.073,2.091,39,17,44
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,142.7,9,26,98.8,900,68.0,9.3,3.129,296,6.575,1.5,4.043,1.694,269,487,244
N. Mariana Islands ,OCEANIA                            ,82459,477,172.9,31.069,961,711,12500,97.0,254.7,1.304,435,8.261,2,1.943,229,,,
Norway ,WESTERN EUROPE                     ,4610820,323802,14.2,777,174,3.7,37800,100.0,461.7,287,0,9.713,3,1.146,9.4,21,415,564
Oman ,NEAR EAST                          ,3102229,212460,14.6,98,28,1.951,13100,75.8,85.5,0,14,9.974,1,3.624,381,27,39,583
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,803940,206.2,13,-277,7.244,2100,45.7,31.8,2.787,87,7.126,1,2.974,823,216,251,533
Palau ,OCEANIA                            ,20579,458,44.9,33.166,285,1.484,9000,92.0,325.6,8.7,435,8.695,2,1.803,6.8,62,12,818
Panama ,LATIN AMER. & CARIB    ,3191319,78200,40.8,318,-91,2.047,6300,92.6,137.9,736,198,9.066,2,2.174,536,68,156,776
Papua New Guinea ,OCEANIA                            ,5670544,462840,12.3,111,0,5.145,2200,64.6,10.9,46,144,98.1,2,2.936,725,353,381,266
Paraguay ,LATIN AMER. & CARIB    ,6506464,406750,16.0,0,-8,2.563,4700,94.0,49.2,7.6,23,9.217,2,29.1,449,224,207,569
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,22.0,19,-105,3.194,5100,90.9,79.5,289,0.4,9.671,1.5,2.048,623,8,27,65
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,298.2,1.210,-1.5,2.351,4600,92.6,38.4,1.895,1.677,6.428,2,2.489,541,144,326,53
Poland ,EASTERN EUROPE                     ,38536869,312685,123.3,16,-49,851,11100,99.8,306.3,4.591,112,5.297,3,985,989,5,311,64
Portugal ,WESTERN EUROPE                     ,10605870,92391,114.8,194,357,505,18000,93.3,399.2,2.175,781,7.044,3,1.072,10.5,53,274,673
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,13790,284.8,363,-146,824,16800,94.1,283.1,395,552,9.053,2,1.277,765,1,45,54
Qatar ,NEAR EAST                          ,885359,11437,77.4,492,1.629,1.861,21500,82.5,232.0,164,27,9.809,1,1.556,472,2,801,197
Reunion ,SUB-SAHARAN AFRICA                 ,787584,2517,312.9,822,0,778,5800,88.9,380.9,13.6,1.2,85.2,2,18.9,549,8,19,73
Romania ,EASTERN EUROPE                     ,22303552,237500,93.9,9,-13,2.643,7000,98.4,196.9,4.082,225,5.693,3,10.7,1.177,101,35,549
Russia ,C.W. OF IND. STATES ,142893540,17075200,8.4,22,102,1.539,8900,99.6,280.6,733,11,9.256,,995,1.465,54,371,575
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338,328.4,0,0,9.123,1300,70.4,2.7,4.054,1.216,47.3,3,4.037,1.609,401,229,37
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,18.2,1.453,0,19,2500,97.0,293.3,12.9,0,87.1,,1.213,653,,,
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,149.9,5.172,-711,1.449,8800,97.0,638.9,1.944,278,7.778,2,1.802,833,35,258,707
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,273.5,2.565,-267,1.353,5400,67.0,303.3,656,2.295,7.049,2,1.968,508,7,0.2,73
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,29.0,4.959,-486,754,6900,99.0,683.2,1.304,0,8.696,,1.352,683,,,
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,303.0,2.159,-764,1.478,2900,96.0,190.9,1.795,1.795,64.1,2,1.618,598,0.1,26,64
Samoa ,OCEANIA                            ,176908,2944,60.1,1.369,-11.7,2.771,5600,99.7,75.2,21.2,2.438,5.442,2,1.643,662,114,584,302
San Marino ,WESTERN EUROPE                     ,29251,61,479.5,0,1.098,573,34600,96.0,704.3,1.667,0,8.333,,1.002,817,,,
